#,Time,Title,_source_page,_wiki_api,biome_category,game,_matched_categories,final_category,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Commerci Battle,BgmBT,,unclassified,MapleStory,,,,,,Commerci Trade Voyage boss theme,CommerzBT,StudioEIM,2013,['https://www.youtube.com/watch?v=Ej3m8ukDOlk']
,,Commerci Sailing,BgmBT,,unclassified,MapleStory,,,,,,Commerci Trade Voyage,CommerzBT,StudioEIM,2013,['https://www.youtube.com/watch?v=JvaxNdKZS3I']
,,Commerci Canal,BgmBT,,unclassified,MapleStory,,,,,,Commerci Republic: San Commerci,CommerzBT,StudioEIM,2013,['https://www.youtube.com/watch?v=zW1J8XYU3t0']
,,Rock 'n Battle,BgmBT,,unclassified,MapleStory,,,,,,Bamon League,FreeMarket,StudioEIM,2013,['https://www.youtube.com/watch?v=vlVRgdYxFXk']
,,Gollux Boss Battle,BgmBT,,unclassified,MapleStory,,,,,,Gollux boss theme,GiantVellud,StudioEIM,2013,['https://www.youtube.com/watch?v=0CRF8AJH6NA']
,,Dragon Tiger Field,BgmCN,,unclassified,MapleStory,,,,,,Beasts of Fury: Gold Dragon Dojo exterior,CN_DragonTiger,StudioEIM,2014,['https://www.youtube.com/watch?v=ULy-P8wgU5Q']
,,Dragon Tiger Field 2,BgmCN,,unclassified,MapleStory,,,,,,Beasts of Fury: Gold Dragon Dojo exterior,CN_DragonTiger,StudioEIM,2015,['https://www.youtube.com/watch?v=msETCdOYteU']
,,English School,BgmCN,,unclassified,MapleStory,,,,,,English School Party Quiz,Event,StudioEIM,2007,['https://www.youtube.com/watch?v=xNZehZM4N8o']
,,Go Shanghai,BgmCN,,unclassified,MapleStory,,,,,,China: Shanghai Wai-Tan,ShangHai,StudioEIM,2006,['https://www.youtube.com/watch?v=xPtgIjPQqe4']
,,Go Shanghai (Original),BgmCN,,unclassified,MapleStory,,,,,,China: Shanghai Wai-Tan (Original),ShangHai,StudioEIM,2006,['https://www.youtube.com/watch?v=uZ3egkrlMZY']
,,China: Nanjing Lu,BgmCN,,unclassified,MapleStory,,,,,,China: Shanghai - Nanjing Road,ShangHai,StudioEIM,2015,['https://www.youtube.com/watch?v=oOq9gzCv0cA']
,,China: Shanghai Waitan,BgmCN,,unclassified,MapleStory,,,,,,China: Shanghai - The Bund,ShangHai,StudioEIM,2015,['https://www.youtube.com/watch?v=Ja5gUkJkNmM']
,,China: Yuyuan,BgmCN,,unclassified,MapleStory,,,,,,China: Yu Garden,YuYuanCN,StudioEIM,2015,['https://www.youtube.com/watch?v=6JSJ0emRED4']
,,PvP,BgmCN,,unclassified,MapleStory,,,,,,ChinaMS PvP battle theme,YuYuanCN,StudioEIM,2006,['https://www.youtube.com/watch?v=0cqwe6XD7GI']
,,Shanghai Field,BgmCN,,unclassified,MapleStory,,,,,,China: Shanghai field,ShangHai,StudioEIM,2006,['https://www.youtube.com/watch?v=by7VRYj4HU4']
,,China: Shaolin Boss,BgmCN,,unclassified,MapleStory,,,,,,China: Shaolin Temple - Sutra boss theme,shaolinsi,StudioEIM,2015,['https://www.youtube.com/watch?v=wgjqL3HsiZg']
,,Shaolin Cangjingge,BgmCN,,unclassified,MapleStory,,,,,,China: Shaolin Temple - Sutra Depository (old map ver.),shaolinsi,StudioEIM,2007,['https://www.youtube.com/watch?v=hapVbhzQF88']
,,Shaolin Daxiongbaodian,BgmCN,,unclassified,MapleStory,,,,,,China: Shaolin Temple,shaolin_songshan,StudioEIM,2007,['https://www.youtube.com/watch?v=3Ers8eclp4A']
,,Shaolin Mishi,BgmCN,,unclassified,MapleStory,,,,,,China: Shaolin Temple - Sutra boss theme (old map ver.),shaolinsi,StudioEIM,2007,['https://www.youtube.com/watch?v=gLrpmQPp9U8']
,,Shaolin Shan,BgmCN,,unclassified,MapleStory,,,,,,China: Mount Song field,shaolin_songshan,StudioEIM,2007,['https://www.youtube.com/watch?v=RE-3HU4wvdU']
,,Shaolin Songshan,BgmCN,,unclassified,MapleStory,,,,,,China: Mount Song Hamlet,shaolin_songshan,StudioEIM,2007,['https://www.youtube.com/watch?v=5BcEzWb5ycg']
,,Summer Boating 1,BgmCN,,unclassified,MapleStory,,,,,,ChinaMS Summer Boating event,Kite_JP,StudioEIM,2008,['https://www.youtube.com/watch?v=1h8ZJhL7GqQ']
,,Summer Boating 2,BgmCN,,unclassified,MapleStory,,,,,,ChinaMS Summer Boating event,Kite_JP,StudioEIM,2008,['https://www.youtube.com/watch?v=IPokl8jGHcg']
,,Summer Boating 3,BgmCN,,unclassified,MapleStory,,,,,,ChinaMS Summer Boating event,Kite_JP,StudioEIM,2008,['https://www.youtube.com/watch?v=kiXwuRCn3zo']
,,Yuyuan,BgmCN,,unclassified,MapleStory,,,,,,China: Yuyuan Garden,YuYuanCN,StudioEIM,2006,['https://www.youtube.com/watch?v=i4KaMvnTNww']
,,Blurry Memory,BgmED,,unclassified,MapleStory,,,,,,Angler Company storyline,anglerCompany,ASTERIA,2024,['https://www.youtube.com/watch?v=Iwo7ij4g0m0']
,,The Highest Point of High Mountain,BgmED,,unclassified,MapleStory,,,,,,High Mountain boss,HighMountain,ASTERIA,2024,['https://www.youtube.com/watch?v=eiSgHgosxrk']
,,God Has Awakened,BgmED,,unclassified,MapleStory,,,,,,High Mountain,HighMountain,ASTERIA,2024,['https://www.youtube.com/watch?v=sikkV3NVz9o']
,,Infiltration,BgmED,,unclassified,MapleStory,,,,,,Angler Company,anglerCompany,ASTERIA,2024,['https://www.youtube.com/watch?v=xy0WxGZyk9Y']
,,Into the Deep,BgmED,,unclassified,MapleStory,,,,,,Angler Company,anglerCompany,ASTERIA,2024,['https://www.youtube.com/watch?v=4hOaj_aq1Dk']
,,What Flowed In,BgmED,,unclassified,MapleStory,,,,,,Angler Company,anglerCompany,ASTERIA,2024,['https://www.youtube.com/watch?v=svi69JyQMtI']
,,Hotel Maple,BgmEvent,,unclassified,MapleStory,,,,,,17th anniversary: Hotel Maple,17th_Event,ESTIMATE,2020,['https://www.youtube.com/watch?v=VAbkgEPj7aw']
,,Maple Momentree,BgmEvent,,unclassified,MapleStory,,,,,,19th anniversary: Maple Momentree,momentree,ASTERIA,2022,['https://www.youtube.com/watch?v=mpQ-J_mu4iw']
,,Aquarium -Lofi ver.-,BgmEvent,,unclassified,MapleStory,,,,,,Aquarium Chair effect,3018789,ASTERIA,2021,['https://www.youtube.com/watch?v=-n9U1sMBSfo']
,,Freshness,BgmEvent,,unclassified,MapleStory,,,,,,Awakening Mountain (MapleStory Awake),awake_Event,ASTERIA,2020,['https://www.youtube.com/watch?v=t5sTjl9lPt8']
,,Capture the Flag,BgmEvent,,unclassified,MapleStory,,,,,,Flag Race guild competition,UnionPQ,StudioEIM,2013,['https://www.youtube.com/watch?v=kCG2WU5PkF0']
,,Chu Chu Food Festival,BgmEvent,,unclassified,MapleStory,,,,,,Chu Chu Food Festival event,eChuchu,ASTERIA,2021,['https://www.youtube.com/watch?v=AUyIcdrEp60']
,,Coordi King,BgmEvent,,unclassified,MapleStory,,,,,,Coordi King event,MinigameStation,StudioEIM,2013,['https://www.youtube.com/watch?v=-E-O8wMa5d0']
,,Dolphin - Night,BgmEvent,,unclassified,MapleStory,,,,,,Maple Tourist Event: Dolphin Island (Nighttime),MinigameStation,StudioEIM,2011,['https://www.youtube.com/watch?v=eQ41JswJdng']
,,Dolphin - Noon,BgmEvent,,unclassified,MapleStory,,,,,,Maple Tourist Event: Dolphin Island (Daytime),MinigameStation,StudioEIM,2011,['https://www.youtube.com/watch?v=FbxAXcvyHns']
,,Full Moon Party,BgmEvent,,unclassified,MapleStory,,,,,,Ellinel Full Moon Party event,FullMoonParty,ASTERIA,2020,['https://www.youtube.com/watch?v=4t4CxHRxaeY']
,,Funny Rabbit,BgmEvent,,unclassified,MapleStory,,,,,,Generic event background music,MinigameStation,CODASOUND,2003,['https://www.youtube.com/watch?v=rfM5oalkRDI']
,,Funny Rabbit (Faster),BgmEvent,,unclassified,MapleStory,,,,,,Generic event background music,MinigameStation,StudioEIM,2003,['https://www.youtube.com/watch?v=43UmtCfYn54']
,,Halloween Main Hall,BgmEvent,,unclassified,MapleStory,,,,,,Halloween event,HuntedMansion,StudioEIM,2012,['https://www.youtube.com/watch?v=l77eZ-QcJm4']
,,Halloween Party,BgmEvent,,unclassified,MapleStory,,,,,,Halloween event,HuntedMansion,StudioEIM,2012,['https://www.youtube.com/watch?v=mal0QfNLWOA']
,,Halloween Racing,BgmEvent,,unclassified,MapleStory,,,,,,Halloween event,HuntedMansion,StudioEIM,2012,['https://www.youtube.com/watch?v=xP_5fvzevbE']
,,Henesys Remix,BgmEvent,,unclassified,MapleStory,,,,,,Maple Tourist Event: Henesys Cherry Blossom Festival,Henesys,StudioEIM,2011,['https://www.youtube.com/watch?v=lPg1OGPepew']
,,Ignition Fireworks Festival,BgmEvent,,unclassified,MapleStory,,,,,,Ignition Fireworks Festival (MapleStory Ignition),ignition,ASTERIA,2022,['https://www.youtube.com/watch?v=n2C4_dlfNj0']
,,Illiyard Moor -Lofi ver.-,BgmEvent,,unclassified,MapleStory,,,,,,Starlight Symphony - Sentimental Band effect,5121124,ASTERIA,2021,['https://www.youtube.com/watch?v=zsBbw0IftIM']
,,Leafre -Lofi ver.-,BgmEvent,,unclassified,MapleStory,,,,,,Starlight Symphony - Sentimental Band effect,5121124,ASTERIA,2021,['https://www.youtube.com/watch?v=Srl1tWFutQE']
,,14th Anniversary Frozen Link -piano-,BgmEvent,,unclassified,MapleStory,snow_ice|space,,,,,14th anniversary: Petite Planet,MapleGalaxy,ASTERIA,2017,['https://www.youtube.com/watch?v=mc9qDVpsybE']
,,14th Anniversary Frozen Link,BgmEvent,,unclassified,MapleStory,snow_ice|space,,,,,14th anniversary: Planet Glacius,MapleGalaxy,ASTERIA,2017,['https://www.youtube.com/watch?v=d9L1LSCUrk8']
,,Maple Live Studio,BgmEvent,,unclassified,MapleStory,,,,,,Maple Live,mapleLIVE,ASTERIA,2021,['https://www.youtube.com/watch?v=Q4pkDpkktfA']
,,Maple Live - Pink Bean,BgmEvent,,unclassified,MapleStory,,,,,,Maple Live - Pink Bean,mapleLIVE,ASTERIA,2021,['https://www.youtube.com/watch?v=L5xTgPPBJKk']
,,Max Level Chair,BgmEvent,,unclassified,MapleStory,,,,,,Level 250 chair effect,3014028,StudioEIM,2014,['https://www.youtube.com/watch?v=Y3is9OyoGGU']
,,Neo Castle,BgmEvent,,unclassified,MapleStory,,,,,,Neo Castle (MapleStory Neo),NeoCastle,ASTERIA,2020,['https://www.youtube.com/watch?v=4xVlmNHG_v0']
,,Salon Rise,BgmEvent,,unclassified,MapleStory,,,,,,Salon Rise,Rise,ASTERIA,2019,['https://www.youtube.com/watch?v=_tEnTUZafVE']
,,Starlight Symphony,BgmEvent,,unclassified,MapleStory,,,,,,Starlight Symphony (MapleStory Destiny),eStella,ASTERIA,2021,['https://www.youtube.com/watch?v=mEhEkAi1rU0']
,,Welcome to the 15th Street,BgmEvent,,unclassified,MapleStory,,,,,,15th anniversary: Maple 15th Street,15st,ASTERIA,2018,['https://www.youtube.com/watch?v=Egkxibww6bI']
,,Witch Tower,BgmEvent,,unclassified,MapleStory,,,,,,Witch's Tower event,MinigameStation,StudioEIM,2009,['https://www.youtube.com/watch?v=LF0hEPFskQk']
,,Adventure Island,BgmEvent2,,unclassified,MapleStory,,,,,,Adventure Island,adventureIsland,ASTERIA,2019,['https://www.youtube.com/watch?v=bA6SLeKHS-c']
,,Club Halloween,BgmEvent2,,unclassified,MapleStory,,,,,,2018 Halloween: Club Halloween,event_clubHalloween,ASTERIA,2018,['https://www.youtube.com/watch?v=bCag6Onoug0']
,,Glory Base,BgmEvent2,,unclassified,MapleStory,,,,,,Maple Alliance Outpost (MapleStory Glory),Glorion,ASTERIA,2019,['https://www.youtube.com/watch?v=pxFI6etwcDY']
,,Full Moon Goblin Night Market,BgmEvent2,,unclassified,MapleStory,,,,,,Full Moon Goblin Night Market,goblinMarket,ASTERIA,2019,['https://www.youtube.com/watch?v=aHknrZHLlbY']
,,Heroes Fiesta,BgmEvent2,,unclassified,MapleStory,,,,,,Heroes Fiesta event,hFiesta,ASTERIA,2025,['https://www.youtube.com/watch?v=pFeA45_Oes4']
,,Kite,BgmEvent2,,unclassified,MapleStory,,,,,,New Year's Eve kite event,Kite,StudioEIM,2013,['https://www.youtube.com/watch?v=K4kGM9aKBCM']
,,Mini Game Station,BgmEvent2,,unclassified,MapleStory,,,,,,Mini Game Station event,MinigameStation,StudioEIM,2013,['https://www.youtube.com/watch?v=VRhE2xNjmP4']
,,MapleStory Universe - 1st Anniversary,BgmEvent2,,unclassified,MapleStory,,,,,,MapleStory Universe - 1st Anniversary,mGame1st,ASTERIA,2026,['https://www.youtube.com/watch?v=cIo1vmeT8sE']
,,Expedition to Chew Chew Island -Newtro ver.-,BgmEvent2,,unclassified,MapleStory,,,,,,16th anniversary: Newtro Time (Chu Chu Island),16thEvent,ASTERIA,2019,['https://www.youtube.com/watch?v=fCcvhjI7BDk']
,,Newtro Disco,BgmEvent2,,unclassified,MapleStory,,,,,,16th anniversary: Newtro Time,16thEvent,ASTERIA,2019,['https://www.youtube.com/watch?v=_v6FtAHKIFw']
,,Floral Life -Newtro ver.-,BgmEvent2,,unclassified,MapleStory,,,,,,16th anniversary: Newtro Time (Henesys),16thEvent,ASTERIA,2019,['https://www.youtube.com/watch?v=EXMQpJ0JV5M']
,,Newtro Kingdom,BgmEvent2,,unclassified,MapleStory,,,,,,16th anniversary: Newtro Time,16thEvent,ASTERIA,2019,['https://www.youtube.com/watch?v=ynQE0uzOZwI']
,,Start the Adventure -Newtro ver.-,BgmEvent2,,unclassified,MapleStory,,,,,,16th anniversary: Newtro Time (Login theme),16thEvent,ASTERIA,2019,['https://www.youtube.com/watch?v=dlAl1cwvMGQ']
,,Fantastic Thinking -Newtro ver.-,BgmEvent2,,unclassified,MapleStory,,,,,,16th anniversary: Newtro Time (Ludibrium),16thEvent,ASTERIA,2019,['https://www.youtube.com/watch?v=JS6aQ2K3Vs8']
,,Arab Pirate -Newtro ver.-,BgmEvent2,,unclassified,MapleStory,,,,,,16th anniversary: Newtro Time (Balrog theme),16thEvent,ASTERIA,2019,['https://www.youtube.com/watch?v=M-CUrhHhZAQ']
,,Pink Bean Spotlight,BgmEvent2,,unclassified,MapleStory,,,,,,Pink Bean's Triple Color Spotlight skill,PinkBean,ASTERIA,2022,['https://www.youtube.com/watch?v=HLxZnFxhW-I']
,,Rhythm,BgmEvent2,,unclassified,MapleStory,,,,,,Mesoranger dance event,mRhythm,StudioEIM,2013,['https://www.youtube.com/watch?v=siOIcI8Fa3A']
,,Rhythm 2,BgmEvent2,,unclassified,MapleStory,,,,,,Mesoranger dance event,mRhythm,StudioEIM,2013,['https://www.youtube.com/watch?v=iFUeN8brMbo']
,,Rising Star,BgmEvent2,,unclassified,MapleStory,,,,,,Smile Luv U (TV size) -instrumental-,MinigameStation,StudioEIM,2011,['https://www.youtube.com/watch?v=oC59ar2ONwI']
,,Rising Star 2,BgmEvent2,,unclassified,MapleStory,,,,,,Smile Luv U (TV size),MinigameStation,StudioEIM,2011,['https://www.youtube.com/watch?v=oyLNri1VuOM']
,,10th Anniversary Board,BgmEvent2,,unclassified,MapleStory,,,,,,10th anniversary event,12th,StudioEIM,2013,['https://www.youtube.com/watch?v=3yvTD3d9OLQ']
,,Union Arena,BgmEvent2,,unclassified,MapleStory,,,,,,Union Arena,autoPvP,ASTERIA,2020,['https://www.youtube.com/watch?v=LOQ7HeMndvo']
,,Union Arena - Battlefield,BgmEvent2,,unclassified,MapleStory,,,,,,Union Arena battlefield,autoPvP,ASTERIA,2020,['https://www.youtube.com/watch?v=D5f8O1NTSGc']
,,Outlaw of the Lonely Island,BgmEvent2,,unclassified,MapleStory,snow_ice|sea_underwater,,,,,Winter Retreat / Seaside Outlaw event,WaterGun,ASTERIA,2017,['https://www.youtube.com/watch?v=mB7_l1sAovU']
,,Dimension Haunted Mansion,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Halloween event,HuntedMansion,ASTERIA,2024,['https://www.youtube.com/watch?v=3K4TWAIP7ug']
,,Maple Racing -In Game-,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary - Maple Racing minigame,victoriaCup,ASTERIA,2024,['https://www.youtube.com/watch?v=qfMOIJ169mo']
,,Maple Racing -Lobby-,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary - Maple Racing minigame,victoriaCup,ASTERIA,2024,['https://www.youtube.com/watch?v=qBIWtnD4sVM']
,,Maple Soccer Online,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary - Maple Soccer Online minigame,multiSoccer,ASTERIA,2024,['https://www.youtube.com/watch?v=MfqGVcr-dPs']
,,An Old Story From Grandma,BgmEvent3,,unclassified,MapleStory,,,,,,Mabinogi Nao chair (Bard's Song) effect,3019243,ASTERIA,2024,['https://www.youtube.com/watch?v=7AVs339S-JM']
,,Chipmunk Sweepers - Marionette,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary - Chipmunk Sweepers minigame,victoriaCup,ASTERIA,2024,['https://www.youtube.com/watch?v=sVxJ87ntnps']
,,Chipmunk Sweepers - Mouse,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary - Chipmunk Sweepers minigame,victoriaCup,ASTERIA,2024,['https://www.youtube.com/watch?v=MA2xeWsep_g']
,,Chipmunk Sweepers - Snake,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary - Chipmunk Sweepers minigame,victoriaCup,ASTERIA,2024,['https://www.youtube.com/watch?v=pWK8I7IDR3U']
,,Seals and Dolphins,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration,Goldrich,Mintrocket,2024,['https://www.youtube.com/watch?v=5eiit09VrWY']
,,The Blue Hole,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration chair effect,3019376,Mintrocket,2024,['https://www.youtube.com/watch?v=sTq54A_OEQ8']
,,Diver,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration,Goldrich,Mintrocket,2024,['https://www.youtube.com/watch?v=esEksoHCXqo']
,,Darker Trenches,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration,Goldrich,Mintrocket,2024,['https://www.youtube.com/watch?v=Fc33eRxf1j0']
,,Restaurant Prep,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration,Goldrich,Mintrocket,2024,['https://www.youtube.com/watch?v=LZZfx_aVPZw']
,,"Serve, Sushi, Serve!",BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration,Goldrich,Mintrocket,2024,['https://www.youtube.com/watch?v=XItJXb9RyrU']
,,On the Boat,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration chair effect,3019377,Mintrocket,2024,['https://www.youtube.com/watch?v=vtU4m9d11Lc']
,,Sharks Like Games Too,BgmEvent3,,unclassified,MapleStory,,,,,,2024 Dave the Diver collaboration,Goldrich,Mintrocket,2024,['https://www.youtube.com/watch?v=DQWjzmYBn70']
,,Ignition Full Moon Party,BgmEvent3,,unclassified,MapleStory,,,,,,2022 Ignition Full Moon Party event,ignition,ASTERIA,2022,['https://www.youtube.com/watch?v=_UlS4xxGcag']
,,The Lake of Oblivion (jam-jam Remix),BgmEvent3,,unclassified,MapleStory,,,,,,2023 DJMAX RESPECT V collaboration,5204047,jam-jam,2023,['https://www.youtube.com/watch?v=MeHzf8F9WOA']
,,Dream Festival,BgmEvent3,,unclassified,MapleStory,,,,,,Lacheln in a Dream (MapleStory Dreamer),lucidDream,ASTERIA,2023,['https://www.youtube.com/watch?v=aPCWs9gSkwU']
,,Masquerade in a Dream,BgmEvent3,,unclassified,MapleStory,,,,,,Lacheln in a Dream (MapleStory Dreamer),lucidDream,ASTERIA,2023,['https://www.youtube.com/watch?v=OSaDIMldgiM']
,,After the Festival Is Over,BgmEvent3,,unclassified,MapleStory,,,,,,Lacheln in a Dream (MapleStory Dreamer),lucidDream,ASTERIA,2024,['https://www.youtube.com/watch?v=kootP0-YdQE']
,,Maple Danmak,BgmEvent3,,unclassified,MapleStory,,,,,,Spirit's Memory event,square,ASTERIA,2024,['https://www.youtube.com/watch?v=uiKbp1QbbFY']
,,Mapril Island,BgmEvent3,,unclassified,MapleStory,,,,,,20th anniversary: Mapril Island,20th_Event,ASTERIA,2023,['https://www.youtube.com/watch?v=J8KG_wQVHNw']
,,Minar Autumn Picnic,BgmEvent3,,unclassified,MapleStory,,,,,,2023 Minar Autumn Picnic event,minarPicnic,ASTERIA,2023,['https://www.youtube.com/watch?v=_jA050cfdK8']
,,MSU Hyper Summer Dinner,BgmEvent3,,unclassified,MapleStory,,,,,,Hyper Summer event,idleIsland,ASTERIA,2026,['https://www.youtube.com/watch?v=fabat4re8G0']
,,MSU Hyper Summer Lunch,BgmEvent3,,unclassified,MapleStory,,,,,,Hyper Summer event,idleIsland,ASTERIA,2026,['https://www.youtube.com/watch?v=VgMqY6DPOF8']
,,MSU Hyper Summer Morning,BgmEvent3,,unclassified,MapleStory,,,,,,Hyper Summer event,idleIsland,ASTERIA,2026,['https://www.youtube.com/watch?v=eFOwpXTgdWE']
,,Story of Maple,BgmEvent3,,unclassified,MapleStory,,,,,,2023 DJMAX RESPECT V collaboration,5010268,Mycin.T x ned,2023,['https://www.youtube.com/watch?v=kXijRwgZ7b8']
,,Ariant (ned Remix),BgmEvent3,,unclassified,MapleStory,,,,,,2023 DJMAX RESPECT V collaboration,5204047,ned,2023,['https://www.youtube.com/watch?v=haIZ_AdoXfw']
,,Origin of Records,BgmEvent3,,unclassified,MapleStory,,,,,,Origin of Records (MapleStory Milestone),2024SummerLibrary,ASTERIA,2024,['https://www.youtube.com/watch?v=L5874vOgeHY']
,,Fairytale (Pan Remix),BgmEvent3,,unclassified,MapleStory,,,,,,2023 DJMAX RESPECT V collaboration,5204047,Pan,2023,['https://www.youtube.com/watch?v=huZ90iw0FOo']
,,The Tune of the Azure Light (Parang Remix),BgmEvent3,,unclassified,MapleStory,,,,,,2023 DJMAX RESPECT V collaboration,5204047,Parang,2023,['https://www.youtube.com/watch?v=9nwQTQtOyKg']
,,Moonlight Shadow (Paul Bazooka Remix),BgmEvent3,,unclassified,MapleStory,,,,,,2023 DJMAX RESPECT V collaboration,5204047,Paul Bazooka,2023,['https://www.youtube.com/watch?v=hysUL7OuzxU']
,,Missing You (SOPHI Remix),BgmEvent3,,unclassified,MapleStory,,,,,,2023 DJMAX RESPECT V collaboration,5204047,SOPHI,2023,['https://www.youtube.com/watch?v=34Ukh7U_vVg']
,,Sunset Over the Horizon,BgmEvent3,,unclassified,MapleStory,,,,,,Tirnog Blueprint (MapleStory Milestone),tirnog,ASTERIA,2024,['https://www.youtube.com/watch?v=5ssgcET1ADU']
,,Victoria Cup -Day-,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary: Victoria Cup,victoriaCup,ASTERIA,2024,['https://www.youtube.com/watch?v=hWNSMcmqKsk']
,,Victoria Cup -Night-,BgmEvent3,,unclassified,MapleStory,,,,,,21st anniversary: Victoria Cup,victoriaCup,ASTERIA,2024,['https://www.youtube.com/watch?v=o3h6eFu6dYg']
,,We Are Not Afraid -boss master loop-,BgmEvent3,,unclassified,MapleStory,forest_jungle|sea_underwater|hell,,,,,2023 Minar Autumn Picnic (Forest Blast) event,abyssForest,ASTERIA,2023,['https://www.youtube.com/watch?v=ysoahiSOjf4']
,,Floral Life -Xmas ver.-,BgmEvent3,,unclassified,MapleStory,,,,,,2022 Christmas - Henesys,Henesys,ASTERIA,2022,['https://www.youtube.com/watch?v=tMCICVxXrVY']
,,Leafre -Xmas ver.-,BgmEvent3,,unclassified,MapleStory,,,,,,2022 Christmas - Leafre,Leafre,ASTERIA,2022,['https://www.youtube.com/watch?v=LgFDYq-gOQI']
,,A Twilight Evernia Festival,BgmEvent4,,unclassified,MapleStory,,,,,,Twilight Eve Festival (MapleStory Assemble),Evernia,ASTERIA,2025,['https://www.youtube.com/watch?v=BaML2E64LPo']
,,Carcion Festival,BgmEvent4,,unclassified,MapleStory,,,,,,Carcion Octo Festival,strangerTide,ASTERIA,2025,['https://www.youtube.com/watch?v=wkLMCmmrfQk']
,,Carcion Festival with Everyone,BgmEvent4,,unclassified,MapleStory,,,,,,Carcion Octo Festival,strangerTide,ASTERIA,2025,['https://www.youtube.com/watch?v=nmd-NS9dmb8']
,,NEXT TO -instrumental-,BgmEvent4,,unclassified,MapleStory,,,,,,MapleStory NEXT ending theme song,DawnStar,ASTERIA,2024,['https://www.youtube.com/watch?v=48lWbmLaQ_Y']
,,Flower Scented Corridor,BgmEvent4,,unclassified,MapleStory,,,,,,Dawn Star Banquet (MapleStory NEXT),DawnStar,ASTERIA,2024,['https://www.youtube.com/watch?v=zt-FtBK5mmA']
,,Funny Days of Maple Island,BgmEvent4,,unclassified,MapleStory,,,,,,23rd anniversary: Maple Attack!,23rd,ASTERIA,2026,['https://www.youtube.com/watch?v=NijMGn9Sh-A']
,,Hope Blossoms,BgmEvent4,,unclassified,MapleStory,,,,,,22nd anniversary: Maple University,22nd,ASTERIA,2025,['https://www.youtube.com/watch?v=ZGTF6rhWk9c']
,,Illusion Fantasia,BgmEvent4,,unclassified,MapleStory,,,,,,Tallahart - Night of Illusions (MapleStory Crown),tallahart,ASTERIA,2025,['https://www.youtube.com/watch?v=fsZt5a2K26Q']
,,NEXT ONE -instrumental-,BgmEvent4,,unclassified,MapleStory,,,,,,MapleStory NEXT opening theme song,DawnStar,ASTERIA,2024,['https://www.youtube.com/watch?v=g60imV0mdCE']
,,Monster Park Staff Lounge,BgmEvent4,,unclassified,MapleStory,,,,,,Monster Park Turmoil,monsterParkOffice,ASTERIA,2025,['https://www.youtube.com/watch?v=dsvrbnaTTjs']
,,Welcome to the MVP Resort,BgmEvent4,,unclassified,MapleStory,,,,,,MVP Resort,mvpResort,ASTERIA,2025,['https://www.youtube.com/watch?v=UTD7W8aYw7A']
,,Play With Me Again,BgmEvent4,,unclassified,MapleStory,,,,,,Maple Hideout,mapleAgit,ASTERIA,2025,['https://www.youtube.com/watch?v=SfAvtCj_a_M']
,,Play With Me All Day,BgmEvent4,,unclassified,MapleStory,,,,,,Maple Hideout,mapleAgit,ASTERIA,2025,['https://www.youtube.com/watch?v=0PKOCUBh-fY']
,,Rippling Battle of Maple Island,BgmEvent4,,unclassified,MapleStory,,,,,,23rd anniversary: Maple Attack! - BTS Jin boss theme,23rd,ASTERIA,2026,['https://www.youtube.com/watch?v=1jjoC4KN4BU']
,,Sparkling Festival of Maple Island,BgmEvent4,,unclassified,MapleStory,,,,,,23rd anniversary: Maple Attack!,23rd,ASTERIA,2026,['https://www.youtube.com/watch?v=ne2uxcZxrJ8']
,,Starry Dawn Garden,BgmEvent4,,unclassified,MapleStory,,,,,,Dawn Star Banquet (MapleStory NEXT),DawnStar,ASTERIA,2024,['https://www.youtube.com/watch?v=-5k1aracOQo']
,,Virtual Combat System,BgmEvent4,,unclassified,MapleStory,,,,,,Monster Park Turmoil - Virtual Combat System,monsterParkOffice,ASTERIA,2025,['https://www.youtube.com/watch?v=Zi4k-kmhF5k']
,,Warm Regard -Night-,BgmEvent4,,unclassified,MapleStory,,,,,,2025 Halloween: Yeti Night,ElNath,ASTERIA,2025,['https://www.youtube.com/watch?v=8gWWBx-D5Wk']
,,Wind and Flower - Trial of Illusion,BgmEvent4,,unclassified,MapleStory,,,,,,Lucid - Athena Pierce event boss,Eurel,ASTERIA,2026,['https://www.youtube.com/watch?v=2Fo_SAkWQFQ']
