#,Time,Title,_source_page,_wiki_api,biome_category,game,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Bad Guys,Bgm01,,city_machine,MapleStory,,,,Kerning City,KerningCity,CODASOUND,2003,['https://www.youtube.com/watch?v=uv8QObpL2EY']
,,Verdel Town,Bgm48,,city_machine,MapleStory,,,,Verdel,verdel,ASTERIA,2017,['https://www.youtube.com/watch?v=p83BhMpHd9A']
,,Liberated Edelstein City,Bgm52,,city_machine,MapleStory,,,,MapleStory Glory: The Day After (Resistance cutscene),Edelstein,ASTERIA,2019,['https://www.youtube.com/watch?v=lWUVqxA1IqM']
,,Burning City,Bgm53,,city_machine,MapleStory,,,,Cernium,Cernium,ASTERIA,2019,['https://www.youtube.com/watch?v=4MBimZxNzyI']
,,Memory of Sunset,Bgm54,,city_machine,MapleStory,,,,Reverse City cutscene,Reverse_City,ASTERIA,2019,['https://www.youtube.com/watch?v=eTneN70g90M']
,,Reverse City 2,Bgm54,,city_machine,MapleStory,,,,Reverse City: M Tower,Reverse_City,ASTERIA,2019,['https://www.youtube.com/watch?v=CSAsQCLnB7U']
,,T-bomb,Bgm54,,city_machine,MapleStory,,,,Reverse City: M Tower boss theme,Reverse_City,ASTERIA,2019,['https://www.youtube.com/watch?v=b6k9HwW5EE0']
,,Thanatos Descent,Bgm56,,city_machine,MapleStory,,,,Kain's Thanatos Descent skill,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=tmK38bSySZ0']
,,Dispossessed Anger,Bgm56,,city_machine,MapleStory,,,,Kain storyline - Toolen City,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=_GHdQlQc8GM']
,,Doubt You,Bgm56,,city_machine,MapleStory,,,,Kain storyline - Toolen City,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=vhcSDQFrC0w']
,,"Happy Birthday, My Dear",Bgm56,,city_machine,MapleStory,,,,Kain storyline,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=SG_YVRlU7wI']
,,"Happy Birthday, My Dear -Short ver.-",Bgm56,,city_machine,MapleStory,,,,Kain storyline,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=3ZycGOBiiew']
,,Heavy Rain,Bgm56,,city_machine,MapleStory,,,,Kain storyline - Toolen City ambience,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=t0CDRHCwmVA']
,,Malice,Bgm56,,city_machine,MapleStory,,,,Kain storyline - Toolen City,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=n2jEMbIg0Eg']
,,The Dispossessed,Bgm56,,city_machine,MapleStory,,,,Toolen City,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=zefC4ONYCak']
,,Toolen City,Bgm56,,city_machine,MapleStory,,,,Toolen City,ToolenCity,ASTERIA,2020,['https://www.youtube.com/watch?v=ZrG5FNGyGUs']
,,The Lost City Among the Clouds,Bgm58,,city_machine,MapleStory,,,,Odium,odium,ASTERIA,2022,['https://www.youtube.com/watch?v=34Tb70dLN3Q']
,,City of Eternal Night,Bgm61,,city_machine,MapleStory,,,,Kai - Reward Map,Chrono,ASTERIA,2025,['https://www.youtube.com/watch?v=aXhlh7gw9qM']
,,Port City of Vallora,Bgm61,,city_machine,MapleStory,,,,Vallora,Vallora,ASTERIA,2025,['https://www.youtube.com/watch?v=lyp4mlh3abI']
,,The Gaze of Abandoned Robots,Bgm62,,city_machine,MapleStory,,,,Geardrak: Robot Warehouse,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=CoePzXC7Lv4']
,,The Gaze of Abandoned Robots (Original),Bgm62,,city_machine,MapleStory,,,,Geardrak: Robot Warehouse,Geardrak,ASTERIA,2026,['https://www.youtube.com/watch?v=TtDjTsWO3rY']
,,Wall Load City,BgmAoT,,city_machine,MapleStory,,,,Attack on Titan: Trost District,AoT2,StudioEIM,2014,['https://www.youtube.com/watch?v=eSCmN_ZzvzI']
,,Beast Tamer: Wood Town,BgmBT,,city_machine,MapleStory,,,,Arboren: Canopy Town,ArbrenBT,StudioEIM,2014,['https://www.youtube.com/watch?v=Ol-Cy_VUDMM']
,,Lake Of Oblivion -Xmas ver.-,BgmEvent3,,city_machine,MapleStory,,,,2022 Christmas - Nameless Town,Road of Vanishing,ASTERIA,2022,['https://www.youtube.com/watch?v=FJzdLSaqQzI']
,,The Lost City Among the Clouds -Xmas ver.-,BgmEvent3,,city_machine,MapleStory,,,,2025 Christmas - Odium,odium,ASTERIA,2025,['https://www.youtube.com/watch?v=8P94Ay-uuqQ']
,,Kira Kira Sunshine City,BgmEventJP,,city_machine,MapleStory,,,,Oshi Discovery Project event,2026Bias,ASTERIA,2026,['https://www.youtube.com/watch?v=Fbbs1j7hY-g']
,,Blackgate,BgmGL,,city_machine,MapleStory,,,,Blackgate City,BlackgateCity,StudioEIM,2015,['https://www.youtube.com/watch?v=2v-Mm-soYvw']
,,New Leaf City - Boss,BgmGL,,city_machine,MapleStory,,,,2022 New Leaf City: Galacto-Drill boss theme,NLC,StudioEIM,2012,['https://www.youtube.com/watch?v=X6GR21aZ7WM']
,,New Leaf City - Kidnap,BgmGL,,city_machine,MapleStory,,,,2022 New Leaf City: Alien Base,NLC,StudioEIM,2012,['https://www.youtube.com/watch?v=Ye-iYhVZpcI']
,,New Leaf City - Town,BgmGL,,city_machine,MapleStory,,,,New Leaf City,NLC,StudioEIM,2007,['https://www.youtube.com/watch?v=EXv5madDarI']
,,New Leaf City - Town (Alien Invasion),BgmGL,,city_machine,MapleStory,,,,2022 New Leaf City,NLC,StudioEIM,2012,['https://www.youtube.com/watch?v=SuNPfne8Oxw']
,,New Leaf City - Upbeat,BgmGL,,city_machine,MapleStory,,,,New Leaf City: MesoGears,NLC,StudioEIM,2007,['https://www.youtube.com/watch?v=d0kE_pLlE2U']
,,City Hall,BgmJp,,city_machine,MapleStory,,,,Tokyo Metropolitan Government,JP_TokyoCentral,StudioEIM,2014,['https://www.youtube.com/watch?v=6eY155X67Ww']
,,City Warfare,BgmJp,,city_machine,MapleStory,,,,Tokyo City Hall,JP_TokyoCentral,StudioEIM,2014,['https://www.youtube.com/watch?v=unR2SUdW3Oc']
,,First Step Master,BgmJp,,city_machine,MapleStory,,,,Maple Island: Mushroom Town Training Camp,MushroomVillage,StudioEIM,2006,['https://www.youtube.com/watch?v=ePUZA7yRJVM']
,,Tokyo Central Boss,BgmJp,,city_machine,MapleStory,,,,Tokyo City Hall boss theme,JP_TokyoCentral,StudioEIM,2014,['https://www.youtube.com/watch?v=VBGL3ESb008']
,,Yume,BgmJp,,city_machine,MapleStory,,,,Zipangu: Showa Town,JP_shouwa,StudioEIM,2004,['https://www.youtube.com/watch?v=58QPkwCSd4Y']
,,Odaiba,BgmJp2,,city_machine,MapleStory,,,,"Neo City: Bombed City Center, Neo Tokyo: Akihabara",Tokyo,StudioEIM,2008,['https://www.youtube.com/watch?v=KO8911CzgMU']
,,Office,BgmJp2,,city_machine,MapleStory,,,,"Neo City: Dangerous Tower, Neo Tokyo: Akihabara Resistance HQ",Tokyo,StudioEIM,2008,['https://www.youtube.com/watch?v=nxtdTBejXRY']
,,Park,BgmJp2,,city_machine,MapleStory,,,,"Neo City: Average Town, Neo Tokyo: 2095 Park",Tokyo,StudioEIM,2008,['https://www.youtube.com/watch?v=HDsv0jH1RzI']
,,Tokyo Sky,BgmJp2,,city_machine,MapleStory,,,,"Neo City: Air Battleship Hermes, Neo Tokyo: 2102 Tokyo Sky",Tokyo,StudioEIM,2008,['https://www.youtube.com/watch?v=MVCmEQSeZak']
,,Kuala Lumpur,BgmMY,,city_machine,MapleStory,,,,"Malaysia: Trend Zone Metropolis, Kampung Village",KualaLumpur,StudioEIM,2008,['https://www.youtube.com/watch?v=aJNseQp1Tb4']
,,Pioneer Headquarters,BgmPL,,city_machine,MapleStory,,,,Eluna: Prospector's Township,PL_Eluna,ASTERIA,2017,['https://www.youtube.com/watch?v=4U6sqPlS6fI']
,,Boat Quay Town,BgmSG,,city_machine,MapleStory,,,,Singapore: Boat Quay Town,Singapore,StudioEIM,2007,['https://www.youtube.com/watch?v=GSDD0c_7FV0']
,,CBD Town,BgmSG,,city_machine,MapleStory,,,,Singapore: CBD,Singapore,StudioEIM,2007,['https://www.youtube.com/watch?v=czDfxrSGea4']
,,Ulu Field,BgmSG,,city_machine,MapleStory,,,,Singapore: Ulu City,Singapore,StudioEIM,2008,['https://www.youtube.com/watch?v=JIriGe2tdeA']
,,Downtown,BgmSG_HeadPhone,,city_machine,MapleStory,,,,Vintage101 Headset: Lo-Fi 101 ft. AndLoids,1005645,ASTERIA,2020,['https://www.youtube.com/watch?v=9C2POw73efM']
,,Golden Temple Town,BgmTH,,city_machine,MapleStory,,,,Golden Temple,GoldTempleTH,StudioEIM,2007,['https://www.youtube.com/watch?v=Y_cihkgxF9A']
,,Arisan City,BgmTW,,city_machine,MapleStory,,,,Alishan,Arisan,StudioEIM,2015,['https://www.youtube.com/watch?v=EppjtsvLkJs']
,,Herb Town Boat Party -Muffled-,BgmWz2,,city_machine,MapleStory,,,,Mu Lung Night Troupe event,Wz2_annual,ASTERIA,2024,['https://www.youtube.com/watch?v=YULtrwC3qVM']
,,Herb Town Boat Party,BgmWz2,,city_machine,MapleStory,,,,Mu Lung Night Troupe event,Wz2_annual,ASTERIA,2024,['https://www.youtube.com/watch?v=bFB9rGMdP4o']
,,Factory of the Dream,BgmWz2,,city_machine,MapleStory,,,,Ludibrium Night Troupe event,Wz2_annual,ASTERIA,2023,['https://www.youtube.com/watch?v=xjjoWjXClGo']
,,Herb Town Boat Party -Chair-,BgmWz2Chair,,city_machine,MapleStory,,,,Mu Lung Night Troupe chair effect,3019355,ASTERIA,2024,['https://www.youtube.com/watch?v=wBwQf5NZ2zo']
,,Beautyroid Factory,PL_Beautyroid,,city_machine,MapleStory,,,,Mechanical Hearts: Aspire Industries factory,PL_Beautyroid,ASTERIA,2017,['https://www.youtube.com/watch?v=IqfKfW0KQ0g']
