Name,Played in,_source_page,_wiki_api,biome_category,col2,game
WarmRegard,El Nath Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WhiteChristmas_,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WhiteChristmas,Happyville,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WolfWood,El Nath: Dead Mine (Cliffs),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DownToTheCave,"Unused, duplicate of AncientMove",Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AbandonedMine,El Nath: Dead Mine,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MineQuest,Zakum Pre-quest,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HellGate,El Nath: Dead Mine (Caves of Trial)<br />Showa: The Secret Spa,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FinalFight,Zakum Boss Battle (old),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WelcomeToTheHell,Zakum Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ComeWithMe,Orbis Tower,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FlyingInABlueDream,Orbis - Ludibrium Ship,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FantasticThinking,Ludibrium,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WaltzForWork,Ludibrium: Toy Factory,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WhereverYouAre,Ludibrium: Clocktower<br />Deep Inside the Clocktower,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FunnyTimeMaker,Eos Tower (Inside)<br />Helios Tower,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HighEnough,Eos Tower (Outside),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Fantasia,Dimensional Crack,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
LetsMarch,Omega Sector,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ForTheGlory,Omega Sector: Silo,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FindingForest,Omega Sector: Kulan Field (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
LetsHuntAliens,Omega Sector: Boswell Field,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
PlotOfPixie,Remnant of the Goddess: Papa Pixie Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DarkShadow,Dimensional Crack,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheyMenacingYou,Dimensional Crack: Alishar Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FairyTale,Ludibrium: Warped Path of Time,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FairyTalediffvers,Ludibrium: Warped Path of Time,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TimeAttack,Papulatus Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Timeless,Ludibrium: Forgotten Path of Time,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TimelessB,Ludibrium: Forgotten Path of Time,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BizarreTales,Ludibrium: Warped Passage,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheWayGrotesque,Ludibrium: Forgotten Passage,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Eregos,Ergoth's Leitmotif/Theme (old)<br />Arcanus Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BlueWorld,Aquarium Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Aquarium,Aquarium,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ShiningSea,Aquarium Shallow Sea,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DownTown,Korean Folk Town,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DarkMountain,Korean Folk Town Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AquaCave,Aquarium Deep Sea,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DeepSee,Aquarium Deep Sea,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WaterWay,Sharenian Culvert,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AcientRemain,Perion: Excavation Site,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RuinCastle,Perion: Military Camps,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Dispute,Magatia,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CokeTown,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Leafre,Leafre,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Minar'sDream,Leafre Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AcientForest,Leafre Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TowerOfGoddess,Remnant of the Goddess<br />Ellinel Fairy Academy storyline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FightSand,Ariant Coliseum,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DragonLoad,Leafre: Dragon Forest,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HonTale,Horntail Boss Battle<br />Balrog Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CaveOfHontale,Leafre's Cave of Life,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DragonNest,Leafre: Dragon Canyon,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Ariant,Ariant,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HotDesert,Ariant Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DragonRider,Dragon Rider,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HotDesert,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MureungHill,Mu Lung,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MureungForest,Mu Lung Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WhiteHerb,Herb Town,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Pirate,Herb Town: Red-Nose Pirate Den,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
SunsetDesert,Sunset Road,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Nautilus,Nautilus Harbor,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
inNautilus,Nautilus Interior,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ElinForest,Ellin Forest,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
PoisonForest,Ellin Forest: Fairy Forest<br />Forest of Poison Haze,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
QueensHideout,Ephenia Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ElinCave,Ellin Forest: Rocky Mountain Cave,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DeepCave,Chao Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Coco Island,Coco Island,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TimeTemple,Temple of Time,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Remembrance,Temple of Time: Memory Lane,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Repentance,Temple of Time: Road of Regrets,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Forgetfulness,Temple of Time: Road to Oblivion,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Duskofgod,Temple of Time: Deep Place of Temple,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FightingPinkBeen,Pink Bean Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RustyThrone,Azwan,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
InWartime,Azwan quests,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RedWitch,Hilla Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MureungSchool1,Mu Lung Dojo,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MureungSchool2,Mu Lung Dojo (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MureungSchool3,Mu Lung Dojo (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MureungSchool4,Mu Lung Dojo,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
secretFlower,The Secret Garden,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
EvolvingWorld,Evolution System,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
GoldBeach,Gold Beach,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
QueensGarden,Ereve,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DrillHall,Ereve Drill Hall,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BlackWing,Black Wings' Leitmotif/Theme,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RaindropFlower,Ereve Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WolfAndSheep,Event,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Injustice,Cutscenes,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RienVillage,Rien,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
SnowDrop,Rien Eastern Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BambooGym,Rien Training Ground (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CrystalCave,Rien Mirror Cave & Slumbering Dragon Island,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MushCatle,Mushroom Castle (old),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FlytotheMoon,Lumiere,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DancingWitnTheMoon,Lumiere - In Flight,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
NetsPiramid,Nett's Pyramid,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
NetsPiramid2,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
UnderSubway,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
UnderSubway2,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
GhostShip,Sea of Fog (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
KerningSquare,Kerning Square Lobby,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
KerningSquareField,Kerning Square Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
KerningSquareSubway,Kerning Square Subway<br />Silent Crusade: Train in Repair,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TeraForest,Neo City,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
2021year,Neo City,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
2099year,Neo City,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
2215year,Neo City,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
2230year,Neo City,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
2503year,Neo City,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
LoversIntheAfternoon,Kerning Tower,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
EdelsteinCity,Edelstein,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
NationalPark,Edelstein: Concrete Road,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
PowerStation,Edelstein: Verne Mine,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
GelimerLab,Edelstein: Gelimer Research Lab,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
UndergroundPlace,Edelstein: Secret Plaza,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
LowGradeOre,Edelstein: Dry Road,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DespairOnDevil,Demon Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DecisiveBattle,Demon<br />Leafre of Past,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
LowGradeOre,Used in the JMS website for introducing Big Bang,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BlizzardCastle,Lion King's Castle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CrimsonTower,Roof of Castle Tower and Rose Garden,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
LionHeart,Von Leon Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MPBonusMap,Monster Park Bonus Stage (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CastleOutSide,Sakura Castle (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CastleInside,Sakura Castle (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CastleBoss,Sakura Castle (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
KreaseField,Xerxes in Chryse,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
KreaseAgit,Xerxes in Chryse,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
KreaseColosseum,Xerxes in Chryse: Xerxes Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
battleEntrance,Battle Square (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
battleBGMTypeA,Battle Square (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
battleBGMTypeB,Battle Square (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
battleBGMTypeC,Battle Square (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
battleBGMTypeD,Battle Square (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
monsterPark,Monster Park,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
battleChipi,Battle Square (CMS) (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
profession,Ardentmill,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
timeGate,Gate to the Future,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
destructionTown,Henesys Ruins,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
knightsStronghold,Dark Ereve,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CygnusGarden,Cygnus Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WindAndFlower,Elluel,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FlowerInBlue,Mercedes Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
SoundOfElf,Mercedes Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
CrackOfDimension,Dimensional Schism,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AltarOfAkayrum,Arkarium Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
destructionPerion,"Twilight Perion (old, unused)",Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
destructionPerionShelter,Twilight Perion,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
destructionPerion,Twilight Perion Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FinalFight,Luminous Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DarkMage,Black Mage's Leitmotif/Theme,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
SpeakInTheVoid,Luminous Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
PeacefulWoods,Luminous Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Flood,Luminous Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BurningWoods,Luminous Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Serenity,Harmony,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DarkWoods,Luminous Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Pantheon,Pantheon,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
GreatTemple,Pantheon: Great Temple Interior,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
PantheonField,Pantheon Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
NovaSanctum,Pantheon: Sanctums,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BaseOfBetrayers,Pantheon: Suspicious Hideout and Heretic Temple,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
StepOfKaiser,Kaiser Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TrappedKaiser,Kaiser Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BorderArea,Pantheon: Border Invasion,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AngelsRoom,Angelic Buster's Room<br />Angelic Buster Skill: Superstar Spotlight (GMS only),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
helisiumField,Heliseum: Black Market Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
helisiumWarcry,Heliseum Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
funkyBlackmarket,Heliseum: Black Market,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
helisiumMysticforest,Heliseum: Forest,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
trinityForce,"Treglow, Victor, and Velderoth Boss Battles",Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
retake,Heliseum: Reclamation HQ,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
citadelofTyrant,Tyrant's Castle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
thefinalWar,Magnus Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
"bgcolor=""#FF9090""",thefinalWar,Music,https://maplestory.fandom.com/api.php,unclassified,"Magnus Boss Battle (old, unused)",MapleStory
YggdrasilPrayer,Root Abyss,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TimeChaos,Von Bon Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
JoyfulTeaParty,Pierre Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
QueenPalace,Crimson Queen Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AbyssCave,Vellum Boss Battle and Neglected Garden,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
banbantime,Von Bon Boss Battle: Entry,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
thePhoto,Xenon Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
pulseResonance,Xenon Questline: Beryl Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
fromUndertoUpper,Xenon Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
underside,Xenon Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
inAllVerity,Veritas,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
5thSpotLightFlyAway,Angelic Buster Skill: Superstar Spotlight (not in GMS),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
6thGrandFinaleStarBubble,Angelic Buster Skill: Grand Finale (not in GMS),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
itsmonsterslife,Monster Life,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
itsmonsterslife2,Monster Life,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
scholarsLibrary,Monster Life,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
specialtyStore,Monster Life,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
specialtyStoreRemix,Monster Life,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
journey,Monster Life,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
fadedCitadel,Crimsonheart Castle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheRaiders,Stone Colossus,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheRush,Event: Survivalism,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheLivingMountain,Stone Colossus Body,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheColossalHeart,Stone Colossus Innards,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
NastyLiar,Zero Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ShadowTemple,Zero Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
BeBornZero,Zero's Temple,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
ShadowKnight,Zero Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
SmileZero,Zero Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DisputeInMirror,Mirror World Magatia,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AriantInMirror,Mirror World Ariant<br />Labyrinth of Suffering Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
EdelsteinCityInMirror,Mirror World Edelstein,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FantasticThinkingInMirror,Mirror World Ludibrium,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TimeTempleInMirror,Mirror World Temple of Time,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
FloralLifeInMirror,Mirror World Henesys,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
LeafreInMirror,Mirror World Leafre,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MureungHillInMirror,Mirror World Mu Lung,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RedRoom,Zero Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheFairyForest,Ellinel Lake,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheFairyAcademy,Ellinel Fairy Academy,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MoleKingRises,Mole King Boss Fight,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
GlacierAdventure,Riena Strait,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Sailing,Riena Strait Ship<br />Adele Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
MapleLeaf,Explorer Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
WoundedLeaf,Explorer Questline: Destroyed Maple Island,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AgainstTheDark,Explorer Questline,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
GoFight!ShowYourEnergy!,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
DimensionLibrary,Grand Athenaeum (Music Box),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheStormyForest,Grand Athenaeum Chapter 1: The White Mage,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TheAurora,Grand Athenaeum Chapter 1: The White Mage,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Hekaton,Hekaton Boss Battle (unused)<br />Morass: That Day in Trueffet,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
InRuinInVain,Kritias,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
StopInEnds,Kritias Invasion (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
StopInHundreds,Kritias,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TragicForest,Kritias Fields,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
TragicRestart,Kritias Invasion (unused),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
decision,Shade Tutorial,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
Dominion,Night Walker Skill: Dominion,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
foxvillage,Fox Point Village,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HappyTimeLong,Event: 11th Anniversary (KMS) / 10th Anniversary (GMS),Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
HappyTimeShort,Unused,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
RoyalGuard,Elite Boss Battle,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
sadfoxvillage,Fox Point Village,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
AmusingStoryInTheFairyTale,Tower of Oz Boss Battles,Music,https://maplestory.fandom.com/api.php,unclassified,,MapleStory
