#,Coordinates,Location,Played when,Time,Title (In-game),Track Name,_ext_links,_source_page,_wiki_api,biome_category,col3,game,"text-align: center;"" |Title","text-align: center;"" |Title (Album)"
17,,,Control Room in the QEP and Primary Containment Facility,1:45,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Alien Spaces,
18,,,During the Alterra Science Update trailer and Underwater Islands,2:10,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Alterra Science,
19,,,Kelp Forest,1:28,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Amid the Kelp,
20,,,Alien Caches,1:37,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Ancient Aliens,
21,,,When in the Seamoth or Prawn Suit and near the Floating Island,1:34,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Arc Lights,
22,,,"Blood Kelp Zone, Grand Reef, Deep Grand Reef",1:43,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Blood Crawlers,
23,,,Aurora Prawn Bay,1:34,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Blueprint,
24,,,Bone Fields,2:11,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Bone Fields,
25,,,"Lava Lakes, Inactive Lava Zone, Blood Kelp Zone, and the Aurora",1:56,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Bring a Medpack,
26,,,"Kelp Forest, Grassy Plateaus",0:56,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Buoyancy,
27,,,Safe Shallows Caves,2:21,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Caverns,
28,,,Safe Shallows,1:08,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Coral Reef,
29,,,"Crash Zone, Blood Kelp Zone, Jellyshroom Cave",2:29,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Crash Site,
30,,,During the Cuddlefish Update Trailer,1:07,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Cuddlefish,
31,,,When the player is in the Aurora,1:30,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Dark Matter Reactor,
32,,,During the PRAWN Update trailer,2:04,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Exosuit,
33,,,"Mountains, Inactive Lava Zone, Lost River, Blood Kelp Zone",1:22,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Fear the Reapers,
34,,,Grassy Plateaus,1:38,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,First Immersion,
35,,,Tree Cove,1:40,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Ghost Tree,
36,,,During the Bones Update Trailer,1:59,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Ghosts,
37,,,"When the player is in a Seabase, the Grassy Plateaus and during the Machinery Update trailer",1:40,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Habitat,
38,,,When the player enters the Disease Research Facility & The Infected Update trailer,1:10,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Infected,
39,,,"In Bulb Zone, Grassy Plateaus, Sea Treader's Path, Sparse Reef and Underwater Islands.",2:47,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Islands Beneath the Sea,
40,,,"When the player is in the Lava Castle, Alien Thermal Plant, Blood Kelp Zone or Jellyshroom Cave.",2:11,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Lava Castle,
41,,,"During the Voice of the Deep Trailer, fire in the Cyclops",1:06,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Leviathan,
42,,,"When the player repairs the Drive Core, the Sea Emperor Leviathan dies, and the player cures themself",1:18,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Cycle of Life,
43,,,"When the player enters the Lost River, Grand Reef, Deep Grand Reef, & Bulb Zone biomes",1:21,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Lost River,
44,,,Grassy Plateaus and during the Power Nap Update trailer,2:38,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Maneuvers,
45,,,When the player is in a Mushroom Forest biome,2:14,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Mushroom Forest,
46,,,When the player is in an Observatory,1:22,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Observatory Zen,
47,,,When the Cyclops is under attack by Leviathan class predators & The Silent Running Trailer,1:09,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Red Alert,
48,,,During the Ghost Update Trailer,1:06,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Rock It!,
49,,,When the player is in the Kelp Forests,1:30,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Safe in Kelp Forest,
50,,,Intro cutscene; When a fire is on board the  Cyclops,1:26,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Seamoth,
51,,,When the player is in the Grassy Plateaus,2:04,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Shadow of the Reefback,
52,,,When the player is in the Safe Shallows,1:49,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Shallows,
53,,,"When the Sunbeam countdown starts, Safe Shallows",1:18,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Sunbeam,
54,,,Upon arrival at the Underwater Islands and in the Underwater Islands Caves,2:43,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Unknown Flora,
55,,,"Safe Shallows, Upon arrival on the Mountain Island, and within the Mountains Caves",1:18,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Violet Beau,
56,,,Launch of the Neptune Escape Rocket,1:54,,,,Subnautica OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,Lift Off,
1,,,When the player is in the game's main menu.,2:41,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Below Zero
2,,,During the game's introductory cutscene.,1:22,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,I'll Find My Way Back
3,,,When the player sets foot onto Sector Zero.,1:30,?,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Welcome to 4546B
4,,,When the player is within 150 meters of the Drop Pod.,2:47,Twisty Bridges,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Twisty Bridges
5,,,When the player is within 150 meters of the Drop Pod.,1:48,Arctic Peeper,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Arctic Peeper
6,,,When the player is within 150 meters of the Drop Pod.,3:22,?,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Ice Floes
7,,,When the player is in an Arctic Kelp Forest.,2:56,Light Rays,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Light Rays
8,,,When the player is in any of the Arctic Kelp Caves.,3:20,Kelp Caves,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Kelp Caves
9,,,"When the player is in the Shallow Twisty Bridges, Twisty Bridges, Twisty Bridges Caves.",3:01,Deep Twisty Bridges,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Far Less Alone
10,,,"When the player is in the Shallow Twisty Bridges, Twisty Bridges, Twisty Bridges Caves.",2:14,Singing Sea,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,A Larger Consciousness
11,,,"When the player is in the Shallow Twisty Bridges, Twisty Bridges, Twisty Bridges Caves.",2:39,Permafrost,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,A Continuous Thrum
12,,,When the player is in the Deep Twisty Bridges.,2:05,Caverns,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,The Obelisk
13,,,"When the player is in Sanctuary Zero or the Fabricator Base:

* (0:00 - 0:53) Has not crafted any of the components.

* (0:53 - 1:48) Has crafted one component.

* (1:48 - 2:42) Has crafted two components.

* (2:42 - 3:37) Has crafted three components.

* (3:37 - 4:40) Has constructed Al-An's Vessel as a whole.",4:40,"* Sanctuary A

* Sancutary B

* Fabricator Base",,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,A Thousand Strings
14,,,"When the player selects and plays the track ""Jukebox One"" on a Jukebox.",3:57,Jukebox One,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Mirage Machine
15,,,When the player is in the Thermal Spires or Thermal Spires Caves.,1:48,Lithium,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Lithium
16,,,When the player is in the Thermal Spires or Thermal Spires Caves.,1:15,Magnetite,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Magnetite
17,,,When the player is in the Thermal Spires or Thermal Spires Caves.,1:34,Mineral Deposits,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Cryptosuchus
18,,,When the player is in the Sparse Arctic or the Glacial Basin Ice Lake.,1:20,Flowers,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Titan Holefish
19,,,"When the player: 

* (0:00 to 0:27) Approaches Marguerit Maida's Base.

* (0:27 to 1:03) Encounters Marguerit Maida on Delta Island.

* (1:03 to 2:11) Meets Marguerit Maida within her seabase.",2:11,?,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Stay off My Land
20,,,When the player is in the Glacial Basin.,2:34,Glacial Basin,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Glacial Basin
21,,,"When the player is in the cavernous portion of the Glacial Connection, a Glacial Basin Temperate Cave, Underwater Cave, Dark Cave, or in the sealed underwater tunnel to the Arctic Spires.",3:22,Safe Cave 1,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Molten Silver
22,,,"When the player is in the Glacial Basin, or Outpost Zero.",1:58,Frozen River,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,A Cold Wet Planet
23,,,When the player is in the Glacial Basin.,1:53,Phi Robotics,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Phi Robotics
24,,,When the player approaches the Frozen Leviathan at the Phi Excavation Site.,0:33,I am Relieved It Is Still Frozen,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,I Am Relieved It Is Still Frozen
25,,,"When the player is in Outpost Zero, the Glacial Basin, or the Glacial Forest.",2:15,Marbled Anemone,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Part Organic Part Digital
26,,,"When the player is in the cavernous portion of the Glacial Connection, a Glacial Basin Temperate Cave, Underwater Cave, or in the sealed underwater tunnel to the Arctic Spires.",2:36,Safe Cave 2,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Leaves of Quartz
27,,,When the player is in the Purple Vents or Deep Purple Vents.,3:35,Purple Vents,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,We Exist as Data
28,,,When the player is in any section of the Mercury II.,2:36,Saltwater,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Mercury II
29,,,When the player is in any section of the Mercury II.,3:12,?,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Spinefish
30,,,When the player is in the Koppa Mining Site.,2:14,Mining Site,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Koppa Mining Site
31,,,When the player is in the Tree Spires.,3:26,Tree Spires,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Cathedral
32,,,When the player is in the Lilypad Islands or Lilypads Crevice.,3:51,Lily Pads,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Lily Pads
33,,,When the player is in the Lilypad Islands or Lilypads Crevice.,3:45,Seabed,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,A Study in Parhelion Red
34,,,When the player is in the Deep Lilypads Cave.,3:02,Glowlights,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Glowlights
35,,,When the player is in the West Arctic.,4:56,Iceberg A,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Iceberg
36,,,When the player is in the East Arctic.,2:20,Waves,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Glow Whale
37,,,When the player is in the Glacial Connection.,3:35,Jellyfish,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Medusa Planetarium
38,,,"When the player is in the Glacial Basin Ice Lake, Purple Vents, or Deep Purple Vents.",2:12,Limestone,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Limestone
39,,,Unused,9:19,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Slow Burn
40,,,When the player is in the East Arctic caldera.,3:11,Terror from the Deep,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,This Planet Is Cursed
41,,,When the player is in the Glacial Forest.,2:43,Glacial Trees,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,The Glacial Forest
42,,,When the player is in the Arctic Spires.,1:42,Arctic Spires,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,The Ice Worm
43,,,(0:03 - 0:41) When the player nears the Phi Robotics Center.,4:44,?,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Sam's Discoveries
44,,,When the player is in the World Edge.,1:42,Spectre,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,The Void
45,,,When the player is in the Crystal Caves.,2:11,Chasm,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Crystal Caves
46,,,When the player is in the Crystal Castle.,1:13,Vocals,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Crystal Castle
47,,,When the player is in the Fabricator Caverns.,1:03,Creep,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Fabricator Caverns
48,,,When the player is in the Fabricator Caverns.,1:28,Disturbed,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Shadow Leviathan
49,,,During parts of the endgame at the Architect Phase Gate Facility.,3:42,?,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Ten Thousand Souls
50,,,"During the game's credits, which is currently accessible from the main menu.",4:00,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,In Search of Familiar Harmonies
51,,,-,2:03,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Twilit Waters (Bonus Track)
52,,,-,2:59,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Glacial Basin Extended (Bonus Track)
53,,,-,1:44,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,The Dark (Bonus Track)
54,,,During the Spy Pengling Update Trailer.,1:00,-,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Spy Penguin Theme (Bonus Track)
55,,,"* During the Below Zero Cinematic Trailer.

* When the player selects and plays the track “Steve Pardo - Rite of the Deep” on a Jukebox, after finding it’s Jukebox Disk.",3:07,Rite of the Deep,,,Subnautica: Below Zero OST,https://subnautica.fandom.com/api.php,unclassified,,Subnautica,,Rite of the Deep
,Outpost Zero,[https://youtu.be/FXx9YHPc05Y Divide Music - Survive],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/FXx9YHPc05Y'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,-112 15 306,Subnautica,,
,Purple Vents,[https://youtu.be/Jklg-ivTHYQ First Sun - Die Peacefully],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/Jklg-ivTHYQ'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,233 -100 -618,Subnautica,,
,Glacial Bay,[https://youtu.be/RBdm83TdkeM JT Music - Don't Hold Your Breath],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/RBdm83TdkeM'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,-1023 10 -391,Subnautica,,
,Arctic Spires (Primary Architect Teleporter),[https://youtu.be/UUprRkYlR0I JT Music - Take the Dive],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/UUprRkYlR0I'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,-1044 6 57,Subnautica,,
,Mercury II (Detached Thruster),[https://youtu.be/dUHp7N8BVyo Miracle of Sound - Deep Blue],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/dUHp7N8BVyo'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,480 -158 -650,Subnautica,,
,Phi Robotics Center,[https://youtu.be/3ubI4mhv5u0 NerdOut - Diving In Too Deep],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/3ubI4mhv5u0'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,-1157 18 -725,Subnautica,,
,Mercury II (Bow),[https://youtu.be/DcGNkXQV1Ls Rockit Gaming - Subnautic Stimulus],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/DcGNkXQV1Ls'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,276 -242 -1330,Subnautica,,
,Sparse Arctic,Steve Pardo - Rite Of The Deep,,,,"style=""text-align:center; font-size:12px""",,Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,82 -16 2,Subnautica,,
,Parvan's Bunker,[https://youtu.be/h7fnOQKC2uY TryHardNinja - Deep Dive (feat. Zach Boucher)],,,,"style=""text-align:center; font-size:12px""",['https://youtu.be/h7fnOQKC2uY'],Jukebox Disks,https://subnautica.fandom.com/api.php,unclassified,-1599 19 -818,Subnautica,,
